1865,textgrid:sj4p.0,"Anton Reiser",prose,antonreiser,"Moritz, Karl Philipp"
1866,textgrid:pvts.0,"Ardinghello und die glückseligen Inseln",prose,ardinghellounddieglckseligeninseln,"Heinse, Wilhelm"
1867,textgrid:mrdv.0,"Aus dem Leben eines Taugenichts",prose,ausdemlebeneinestaugenichts,"Eichendorff, Joseph von"
1868,textgrid:qn0t.0,"Brief an den Vater",other,briefandenvater,"Kafka, Franz"
1869,textgrid:vs46.0,"Bunte Steine",prose,buntesteine,"Stifter, Adalbert"
1870,textgrid:nd1x.0,"Das Jahr der Seele",other,dasjahrderseele,"George, Stefan"
1871,textgrid:shg9.0,"Das Stuttgarter Hutzelmännlein",prose,dasstuttgarterhutzelmnnlein,"Mörike, Eduard"
1872,textgrid:qt4h.0,"Der grüne Heinrich",prose,dergrneheinrich,"Keller, Gottfried"
1873,textgrid:r1mf.0,"Der Messias",verse,dermessias,"Klopstock, Friedrich Gottlieb"
1874,textgrid:qmx5.0,"Der Prozess",prose,derprozess,"Kafka, Franz"
1875,textgrid:vtb5.0,"Der Schimmelreiter",prose,derschimmelreiter,"Storm, Theodor"
1876,textgrid:k6c9.0,"Des Knaben Wunderhorn",verse,desknabenwunderhorn,"Arnim, Ludwig Achim von"
1877,textgrid:phx0.0,"Die Alpen",verse,diealpen,"Haller, Albrecht von"
1878,textgrid:tbvb.0,"Die Aufzeichnungen des Malte Laurids Brigge",prose,dieaufzeichnungendesmaltelauridsbrigge,"Rilke, Rainer Maria"
1879,textgrid:rfbd.0,"Die Geschichte des Fräuleins von Sternheim",prose,diegeschichtedesfruleinsvonsternheim,"La Roche, Sophie von"
1880,textgrid:mjm4.0,"Die Judenbuche",prose,diejudenbuche,"Droste-Hülshoff, Annette von"
1881,textgrid:11cvs.0,"Die Leiden des jungen Werthers",prose,dieleidendesjungenwerthers,"Goethe, Johann Wolfgang von"
1882,textgrid:r0z9.0,"Die Marquise von O....",other,diemarquisevono,"Kleist, Heinrich von"
1883,textgrid:tz6t.0,"Die Piccolomini",drama,diepiccolomini,"Schiller, Friedrich"
1884,textgrid:v0ft.0,"Die Räuber",drama,dieruber,"Schiller, Friedrich"
1885,textgrid:qn09.0,"Die Verwandlung",other,dieverwandlung,"Kafka, Franz"
1886,textgrid:tx4w.0,"Don Carlos",drama,doncarlos,"Schiller, Friedrich"
1887,textgrid:td0b.0,"Duineser Elegien",verse,duineserelegien,"Rilke, Rainer Maria"
1888,textgrid:n18s.0,"Effi Briest",prose,effibriest,"Fontane, Theodor"
1889,textgrid:rksr.0,"Emilia Galotti",drama,emiliagalotti,"Lessing, Gotthold Ephraim"
1890,textgrid:11d4b.0,"Faust I",drama,fausti,"Goethe, Johann Wolfgang von"
1891,textgrid:11d12.0,"Faust II",drama,faustii,"Goethe, Johann Wolfgang von"
1892,textgrid:sh46.0,Galgenlieder,verse,galgenlieder,"Morgenstern, Christian"
1893,textgrid:x8gx.0,"Geschichte des Agathon",prose,geschichtedesagathon,"Wieland, Christoph Martin"
1894,textgrid:11g84.0,"Goethes Gedichte",verse,goethesgedichte,"Goethe, Johann Wolfgang von"
1895,,Hiob,other,hiob,"Roth, Joseph"
1896,textgrid:sv80.0,"Hymnen an die Nacht",verse,hymnenandienacht,Novalis
1897,textgrid:qfqc.0,Hyperion,prose,hyperion,"Hölderlin, Friedrich"
1898,textgrid:qdp1.0,Jedermann,drama,jedermann,"Hofmannsthal, Hugo von"
1899,textgrid:nwb0.0,"Kinder- und Hausmärchen",prose,kinderundhausmrchen,"Grimm, Jacob und Wilhelm"
1900,textgrid:q5t4.0,"Lebensansichten des Katers Murr",prose,lebensansichtendeskatersmurr,"Hoffmann, E. T. A."
1901,textgrid:kscm.0,Lenz,prose,lenz,"Büchner, Georg"
1902,textgrid:v2n0.0,Lucinde,prose,lucinde,"Schlegel, Friedrich"
1903,,"Mein blaues Klavier",other,meinblauesklavier,"Lasker-Schüler, Else"
1904,textgrid:shr9.0,"Mörikes Gedichte",verse,mrikesgedichte,"Mörike, Eduard"
1905,textgrid:rkpv.0,"Nathan der Weise",drama,nathanderweise,"Lessing, Gotthold Ephraim"
1906,textgrid:r0n1.0,Penthesilea,drama,penthesilea,"Kleist, Heinrich von"
1907,textgrid:kw7f.0,"Peter Schlemihls wundersame Geschichte",prose,peterschlemihlswundersamegeschichte,"Chamisso, Adelbert von"
1908,textgrid:v3w5.0,Reigen,drama,reigen,"Schnitzler, Arthur"
1909,textgrid:qmrz.0,Siebenkäs,other,siebenks,"Jean Paul"
1910,textgrid:tcqr.0,"Sonette an Orpheus",verse,sonetteanorpheus,"Rilke, Rainer Maria"
1911,textgrid:txth.0,"Wallensteins Lager",drama,wallensteinslager,"Schiller, Friedrich"
1912,textgrid:v0nv.0,"Wallensteins Tod",drama,wallensteinstod,"Schiller, Friedrich"
1913,textgrid:11fb8.0,"West-östlicher Divan",verse,weststlicherdivan,"Goethe, Johann Wolfgang von"
1914,textgrid:kscx.0,Woyzeck,drama,woyzeck,"Büchner, Georg"
